    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  471        4.72       1.016      0.01102        1.027
  472        4.73       1.017      0.01109        1.028
  473        4.74       1.017      0.01116        1.028
  474        4.75       1.017      0.01124        1.029
  475        4.76       1.018      0.01131        1.029
  476        4.77       1.018      0.01138         1.03
  477        4.78       1.019      0.01146         1.03
  478        4.79       1.019      0.01153         1.03
  479         4.8       1.019      0.01161        1.031
  480        4.81        1.02      0.01168        1.031
  481        4.82        1.02      0.01176        1.032
  482        4.83       1.021      0.01183        1.032
  483        4.84       1.021      0.01191        1.033
  484        4.85       1.021      0.01199        1.033
  485        4.86       1.022      0.01206        1.034
  486        4.87       1.022      0.01214        1.034
  487        4.88       1.022      0.01222        1.035
  488        4.89       1.023      0.01229        1.035
  489         4.9       1.023      0.01237        1.036
  490        4.91       1.024      0.01245        1.036
  491        4.92       1.024      0.01253        1.036
  492        4.93       1.024      0.01261        1.037
  493        4.94       1.025      0.01269        1.037
  494        4.95       1.025      0.01277        1.038
  495        4.96       1.025      0.01284        1.038
  496        4.97       1.026      0.01292        1.039
  497        4.98       1.026      0.01301        1.039
  498        4.99       1.027      0.01309         1.04
  499           5       1.027      0.01317         1.04
  500        5.01       1.027      0.01325        1.041
  501        5.02       1.028      0.01333        1.041
  502        5.03       1.028      0.01341        1.041
  503        5.04       1.028      0.01349        1.042
  504        5.05       1.029      0.01358        1.042
  505        5.06       1.029      0.01366        1.043
  506        5.07       1.029      0.01374        1.043
  507        5.08        1.03      0.01383        1.044
  508        5.09        1.03      0.01391        1.044
  509         5.1        1.03      0.01399        1.044
  510        5.11       1.031      0.01408        1.045
  511        5.12       1.031      0.01416        1.045
  512        5.13       1.031      0.01425        1.046
  513        5.14       1.032      0.01433        1.046
  514        5.15       1.032      0.01442        1.047
  515        5.16       1.033      0.01451        1.047
  516        5.17       1.033      0.01459        1.047
  517        5.18       1.033      0.01468        1.048
  518        5.19       1.034      0.01477        1.048
  519         5.2       1.034      0.01485        1.049
  520        5.21       1.034      0.01494        1.049
  521        5.22       1.035      0.01503         1.05
  522        5.23       1.035      0.01512         1.05
  523        5.24       1.035      0.01521         1.05
  524        5.25       1.036       0.0153        1.051
  525        5.26       1.036      0.01539        1.051
  526        5.27       1.036      0.01548        1.052
  527        5.28       1.037      0.01557        1.052
  528        5.29       1.037      0.01566        1.052
  529         5.3       1.037      0.01575        1.053
  530        5.31       1.037      0.01584        1.053
  531        5.32       1.038      0.01593        1.054
  532        5.33       1.038      0.01602        1.054
  533        5.34       1.038      0.01611        1.055
  534        5.35       1.039      0.01621        1.055
  535        5.36       1.039       0.0163        1.055
  536        5.37       1.039      0.01639        1.056
  537        5.38        1.04      0.01649        1.056
  538        5.39        1.04      0.01658        1.057
  539         5.4        1.04      0.01667        1.057
  540        5.41       1.041      0.01677        1.057
  541        5.42       1.041      0.01686        1.058
  542        5.43       1.041      0.01696        1.058
  543        5.44       1.042      0.01705        1.059
  544        5.45       1.042      0.01715        1.059
  545        5.46       1.042      0.01725        1.059
  546        5.47       1.042      0.01734         1.06
  547        5.48       1.043      0.01744         1.06
  548        5.49       1.043      0.01754        1.061
  549         5.5       1.043      0.01763        1.061
  550        5.51       1.044      0.01773        1.061
  551        5.52       1.044      0.01783        1.062
  552        5.53       1.044      0.01793        1.062
  553        5.54       1.045      0.01803        1.063
  554        5.55       1.045      0.01813        1.063
  555        5.56       1.045      0.01823        1.063
  556        5.57       1.045      0.01833        1.064
  557        5.58       1.046      0.01843        1.064
  558        5.59       1.046      0.01853        1.065
  559         5.6       1.046      0.01863        1.065
  560        5.61       1.047      0.01873        1.065
  561        5.62       1.047      0.01883        1.066
  562        5.63       1.047      0.01893        1.066
  563        5.64       1.047      0.01904        1.066
  564        5.65       1.048      0.01914        1.067
  565        5.66       1.048      0.01924        1.067
  566        5.67       1.048      0.01934        1.068
  567        5.68       1.049      0.01945        1.068
  568        5.69       1.049      0.01955        1.068
  569         5.7       1.049      0.01966        1.069
  570        5.71       1.049      0.01976        1.069
  571        5.72        1.05      0.01987         1.07
  572        5.73        1.05      0.01997         1.07
  573        5.74        1.05      0.02008         1.07
  574        5.75       1.051      0.02019        1.071
  575        5.76       1.051      0.02029        1.071
  576        5.77       1.051       0.0204        1.071
  577        5.78       1.051      0.02051        1.072
  578        5.79       1.052      0.02061        1.072
  579         5.8       1.052      0.02072        1.073
  580        5.81       1.052      0.02083        1.073
